RECALL,,,,,,,,
,L00,L01,L02,L03,L04,L05,L06,L07
Alphamining,0.9997,0.9989,0.9989,0.9987,0.999,0.999,0.999,0.999
Alpha+,0.772,0.774,0.7713,0.774,0.7706,0.7703,0.7722,0.771
IM,0.968,0.972,0.974,0.973,0.974,0.974,0.9724,0.974
ILP,0.7563,0.7584,0.756,0.758,0.755,0.7551,0.7567,0.756
,,,,,,,,
,,,,,,,,
,,,,,,,,
PRECISION,,,,,,,,
,L00,L01,L02,L03,L04,L05,L06,L07
Alphamining,0.5362,0.5185,0.5232,0.5205,0.5402,0.5393,0.5283,0.5335
Alpha+,0.1995,0.2106,0.2155,0.2208,0.2195,0.2131,0.2147,0.2155
IM,0.519,0.4881,0.488,0.484,0.5,0.4989,0.4947,0.4786
ILP,0.2155,0.2399,0.2376,0.2412,0.2344,0.2399,0.2357,0.2379
,,,,,,,,
,,,,,,,,
,,,,,,,,
F1 SCORE,,,,,,,,
,L00,L01,L02,L03,L04,L05,L06,L07
,,,,,,,,
Alphamining,0.698013074,0.682654079,0.686715038,0.68433827,0.701221154,0.700462459,0.691117266,0.695551713
Alpha+,0.317064334,0.331107861,0.336877077,0.343585042,0.341675992,0.333843665,0.335984071,0.336848454
IM,0.675712172,0.649863982,0.650221614,0.646440631,0.660786974,0.65982565,0.655778447,0.641823489
ILP,0.335424264,0.36449997,0.361565217,0.365951962,0.357736002,0.364117568,0.359440125,0.361912466
